"puntos" "elevac0" "lon" "lat" "z" "rapMax" "rapMedia"
241 1.08 574499.37 2107250 15.285657638043 0.0134700952252777 0.00268551630353235
242 1.08 574499.37 2107200 14.8253945647365 0.0115890682767277 0.00285550241296662
243 1.08 574499.37 2107150 13.5714728588286 0.0120628471412206 0.00319726956636843
244 1.08 574499.37 2107100 14.3237226431001 0.0317014426730324 0.0142088979722398
245 1.08 574549.37 2108100 14.3682953185292 0.0376243192608387 0.0130125910235614
246 1.08 574549.37 2108050 16.2723392667484 0.0333367244472588 0.0174386666006985
247 1.08 574549.37 2108000 16.2868735336897 0.0219127373477539 0.00989833532589225
248 1.08 574549.37 2107950 16.1841961394507 0.0207094899740889 0.00823849392562126
249 1.08 574549.37 2107900 16.1489723408061 0.0201390815764925 0.00783944012982378
250 1.08 574549.37 2107850 16.5290348695381 0.02123534721227 0.00936800983419269
201 1.24 574399.37 2107200 14.9457167239502 0.0169814716422064 0.00596590057778128
202 1.24 574399.37 2107150 15.1562057894697 0.0170169170073294 0.00579529514691759
203 1.24 574399.37 2107100 15.6404461710088 0.0148727563983555 0.0068343217024607
204 1.24 574399.37 2107050 15.527552625966 0.0184122015284625 0.00569903950121531
205 1.24 574399.37 2107000 15.2510273299612 0.0115530445721002 0.00521908031721255
206 1.24 574399.37 2106950 14.8924473232854 0.0176231878386029 0.00796157573637949
207 1.24 574399.37 2106900 14.6317325545431 0.00866187269147117 0.00424474921857293
208 1.24 574449.37 2107850 12.593699220177 0.0270529862431406 0.00840916159998342
209 1.24 574449.37 2107800 14.5596397611829 0.0221280269774389 0.00829638010283189
210 1.24 574449.37 2107750 14.8643491710495 0.0255309035792685 0.00891204512058287
211 1.24 574449.37 2107700 15.9223568062892 0.0251019299645401 0.00933406900116976
212 1.24 574449.37 2107650 16.364472324835 0.0277264455791597 0.00876838900735689
213 1.24 574449.37 2107600 16.5404602837461 0.0267300160471079 0.00640605398244345
214 1.24 574449.37 2107550 16.6890626179922 0.0311873595531691 0.00762410157713056
215 1.24 574449.37 2107500 16.8852000214404 0.0300558942302177 0.00776102049888072
216 1.24 574449.37 2107450 16.6302864007293 0.0242127440537927 0.00809737085907096
217 1.24 574449.37 2107400 16.3564795449383 0.0224579021599879 0.00809034379612622
218 1.24 574449.37 2107350 16.3392247920943 0.0281507803445781 0.00705057932863178
219 1.24 574449.37 2107300 16.3508814726267 0.0214536123617417 0.00433687446579058
220 1.24 574449.37 2107250 15.2373171092206 0.0226679909745717 0.00547043834558428
221 1.24 574449.37 2107200 15.037399966551 0.0169590549047437 0.00418332762620274
222 1.24 574449.37 2107150 15.0456499287955 0.0217993121121307 0.00392198088680417
223 1.24 574449.37 2107100 15.270106798591 0.0141531978983002 0.00410354421558841
224 1.24 574449.37 2107050 15.3756299352015 0.0274380769597056 0.0062331251228394
225 1.24 574449.37 2107000 14.7109476378837 0.00799160859858889 0.00253491924458748
226 1.24 574449.37 2106950 13.8211893249225 0.00944975755157395 0.00538804263281595
227 1.24 574499.37 2107950 12.9057916476116 0.0374551520566955 0.00938781675032485
228 1.24 574499.37 2107900 14.5968349014818 0.0374551520566955 0.00938781675032485
229 1.24 574499.37 2107850 16.1444454515823 0.0357212579487185 0.010005013579896
230 1.24 574499.37 2107800 16.0512904731084 0.0284404795653837 0.00814370558309049
231 1.24 574499.37 2107750 16.1399385096339 0.0271753743006987 0.00685686384006128
232 1.24 574499.37 2107700 16.300828125674 0.0301272515889005 0.00797783743525438
233 1.24 574499.37 2107650 16.8189241254192 0.0296525472683502 0.00761087826136971
234 1.24 574499.37 2107600 16.7887814272997 0.0265795829543858 0.00712658497996415
235 1.24 574499.37 2107550 16.5682099235167 0.0286292996421436 0.00687867156055632
236 1.24 574499.37 2107500 16.6618590727089 0.0285792859363115 0.00665778626155606
237 1.24 574499.37 2107450 16.2109371198351 0.0218873470026399 0.00607823643873242
238 1.24 574499.37 2107400 15.9831653763833 0.0207929782691851 0.00568993702600141
239 1.24 574499.37 2107350 16.0694811542405 0.0176359621497258 0.00460894257831899
240 1.24 574499.37 2107300 15.0819686605545 0.0229634881005809 0.00482246891721859
241 1.24 574499.37 2107250 15.285657638043 0.0231866850598654 0.00796106308260257
242 1.24 574499.37 2107200 14.8253945647365 0.0206466796736645 0.00463375587263512
243 1.24 574499.37 2107150 13.5714728588286 0.0259476351765245 0.0047343844689715
244 1.24 574499.37 2107100 14.3237226431001 0.0216671100563454 0.0044191689301233
245 1.24 574549.37 2108100 14.3682953185292 0.0497664957257588 0.0105544659092181
246 1.24 574549.37 2108050 16.2723392667484 0.0453454978817434 0.0100476122522383
